dataset,column,missing_values,missing_percentage
customers,customer_id,0,0.0
customers,first_name,0,0.0
customers,last_name,0,0.0
customers,email,0,0.0
customers,city,0,0.0
customers,credit_score,0,0.0
customers,created_at,0,0.0
accounts,account_id,0,0.0
accounts,customer_id,0,0.0
accounts,account_type,0,0.0
accounts,balance_usd,0,0.0
accounts,open_date,0,0.0
cards,card_id,0,0.0
cards,account_id,0,0.0
cards,card_type,0,0.0
cards,expiration_date,0,0.0
loans,loan_id,0,0.0
loans,customer_id,0,0.0
loans,loan_amount,0,0.0
loans,interest_rate,0,0.0
loans,start_date,0,0.0
branches,branch_id,0,0.0
branches,branch_name,0,0.0
branches,manager_name,0,0.0
merchants,merchant_id,0,0.0
merchants,merchant_name,0,0.0
merchants,city,0,0.0
